WEALTH,HEALTH,SUPPLIES,STRENGTH
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
0,100,5,1
1000,10,60,15
50,100,500,1
1000023,1,1,100
0,1,1,1
123640,100,1,1
235640,100,500,1140
12350,24,2145,1443
40,13,168,12
400,1,1,12
